index_id,user_id,group,b1d1,b1d2,b2d1,b2d2,b3d1,b3d2,b4d1,b4d2,b5d1,b5d2
0,1.0,none,0.0,0.0,-0.03701071,-0.07326771,-0.05485906,0.04188794,0.0718895,-0.01979785,-0.09518143,-0.01127635
1,2.0,none,0.0,0.0,-0.03006475,-0.0476524,0.03634193,-0.14416947,-0.01880685,-0.22397692,0.23364522,-0.20974136
2,3.0,rule,0.0,0.0,-0.21646919,-0.0750846,-0.2158397,0.014432,-0.13045329,0.0883988,-0.24958671,0.24693261
3,4.0,rule,0.0,0.0,-0.05502599,-0.11096651,-0.00438504,-0.01504647,-0.11592625,-0.15522719,-0.08109686,-0.06292022
4,5.0,none,0.0,0.0,-0.08016063,0.38091386,-0.06149584,0.24859604,-0.06252444,0.11998135,-0.08380037,0.01753514
5,6.0,none,0.0,0.0,0.09991568,0.04913046,-0.05656672,0.2889309,0.09023642,0.05702068,0.09236424,0.08839548
6,7.0,random,0.0,0.0,-0.12779407,-0.15962416,-0.10978963,-0.18876475,-0.18039298,-0.14459218,-0.14935744,-0.17036409
7,8.0,static,0.0,0.0,-0.00979336,-0.35220519,0.04852208,-0.33198673,-0.07586305,-0.31565605,-0.07535641,-0.36364033
8,10.0,rule,0.0,0.0,-0.00506564,-0.03821163,-0.12003297,-0.05801181,-0.16788422,-0.16077717,0.13140903,-0.11399138
9,11.0,rule,0.0,0.0,-0.00053722,0.13281585,-0.02503983,-0.03086846,0.06375591,-0.08394194,0.03201172,-0.01532898
10,13.0,static,0.0,0.0,0.0071278,-0.01070342,-0.01264069,0.00229316,-0.01571116,0.00998565,0.05007503,0.005515
11,14.0,none,0.0,0.0,0.00656117,-0.16479851,-0.13478594,-0.15209541,-0.08289317,-0.04087219,-0.11726095,-0.1991613
12,15.0,none,0.0,0.0,-0.06851818,-0.04587541,-0.24998027,0.08442665,-0.20066125,-0.00750113,-0.09830986,0.10684976
13,16.0,random,0.0,0.0,-0.09774353,-0.02641029,0.16296827,-0.18205826,-0.04247329,-0.23716676,-0.02541658,-0.29069077
14,17.0,static,0.0,0.0,0.01826725,-0.07574493,-0.08140691,-0.03089497,-0.1359186,0.13625663,-0.0418325,-0.00752121
15,18.0,none,0.0,0.0,0.04610843,0.03577348,-0.02899228,0.10430241,0.04916176,0.01800939,0.02687986,0.11085045
16,19.0,random,0.0,0.0,0.09581208,-0.15280821,-0.0336277,-0.25657668,-0.24081924,-0.25745696,-0.17827341,-0.30044681
17,20.0,random,0.0,0.0,-0.10658307,0.11063006,-0.08902464,-0.00943013,-0.13326124,0.09115565,-0.08899114,0.01517574
18,21.0,none,0.0,0.0,-0.02650426,-0.06938433,-0.09070126,-0.13163408,-0.12495034,-0.04394826,-0.18754073,-0.14981134
19,22.0,static,0.0,0.0,-0.03869687,-0.23323921,0.13100672,-0.35607189,-0.17973373,-0.38169159,-0.03938998,-0.42895269
20,23.0,static,0.0,0.0,-0.06567921,0.13288004,0.04767706,0.1575388,-0.07023091,0.06591234,0.10194618,-0.0923982
21,24.0,random,0.0,0.0,-0.21832583,-0.04200194,-0.12528285,0.08512269,-0.1427672,0.01778373,-0.10841672,0.011454
22,25.0,rule,0.0,0.0,-0.05556566,-0.05687648,-0.098787,0.04236407,-0.18262506,-0.16906563,-0.18436928,-0.18770124
23,26.0,random,0.0,0.0,0.00239808,-0.09948083,-0.02899553,-0.12917804,-0.0363264,-0.16478943,-0.11381951,-0.25492424
24,27.0,rule,0.0,0.0,-0.06168348,0.02670342,-0.07482085,-0.0900062,-0.19559041,-0.06189701,-0.13715184,0.03486164
25,28.0,rule,0.0,0.0,-0.00077607,0.09689718,-0.04369721,0.1248702,-0.10860607,-0.04380403,-0.04310573,0.02590835
26,29.0,rule,0.0,0.0,-0.01353362,0.04905012,0.03384746,-0.03723005,-0.0651349,-0.03379004,-0.12579434,-0.00308253
27,30.0,static,0.0,0.0,-0.01289877,-0.07283716,0.02742382,0.09036252,0.05421411,-0.10483039,0.01825502,-0.01328223
28,31.0,static,0.0,0.0,-0.02590916,0.02257573,-0.03577849,-0.05415115,-0.05215186,-0.03543375,-0.12474838,-0.02643991
29,32.0,rule,0.0,0.0,0.01593561,-0.07489352,0.30295888,0.07435761,0.04131017,0.11634861,0.02283927,0.00968483
30,33.0,none,0.0,0.0,-0.05228345,0.06761869,0.13912985,-0.07542272,0.17465409,-0.10924718,0.02365517,-0.17010493
31,34.0,static,0.0,0.0,0.00639424,0.02092745,-0.00634986,-0.02888557,0.00406453,-0.00374909,-0.05249656,-0.05357184
32,35.0,none,0.0,0.0,-0.10018369,0.10322276,0.0660525,0.05045297,0.01841217,0.07299562,0.01860912,-0.00065027
33,36.0,rule,0.0,0.0,0.05544193,0.07127271,-0.0633973,-0.02379679,-0.01662218,-0.01620583,-0.03963704,0.07085404
34,40.0,static,0.0,0.0,-0.04279638,-0.03335445,0.00246632,-0.11382032,0.02384414,-0.25260169,-0.03463809,-0.08713619
35,41.0,random,0.0,0.0,-0.13272333,0.05166601,-0.18813764,-0.02539315,-0.18182292,-0.09735833,-0.33423024,-0.14255344
